매물번호,매물명,거래타입,보증금/매매가,월세,전용면적,건물명_원본,기존주소,위도,경도,시도,시군구,읍면동,법정동코드,지번주소,지번,본번,부번,산여부,도로명주소,건물명_카카오,지하여부,완전주소,주소타입,우편번호,중개사
2540025558,중소형사무실,월세,"3,000",300,130,중소형사무실,,37.498731,127.04306,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 730-13,730-13,730,13,N,서울특별시 강남구 언주로75길 16,,N,서울특별시 강남구 언주로75길 16,road,06225,서강공인중개사사무소
2539973574,중소형사무실,월세,"2억 3,000","2,300",732,중소형사무실,,37.494933,127.035423,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 751-7,751-7,751,7,N,서울특별시 강남구 역삼로 149,녹동빌딩,N,서울특별시 강남구 역삼로 149,road,06244,한마음공인중개사사무소
2539984896,중소형사무실,월세,3억,"2,070",640,중소형사무실,,37.502552,127.03573,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 641-10,641-10,641,10,N,서울특별시 강남구 논현로 515,아승빌딩,N,서울특별시 강남구 논현로 515,road,06131,삼광공인중개사사무소
2540032671,중소형사무실,월세,1억,690,212,중소형사무실,,37.502552,127.03573,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 641-10,641-10,641,10,N,서울특별시 강남구 논현로 515,아승빌딩,N,서울특별시 강남구 논현로 515,road,06131,(주)탑인사이트부동산중개법인
2540014298,중소형사무실,월세,"8,000",480,167,중소형사무실,,37.495837,127.03053,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 826-36,826-36,826,36,N,서울특별시 강남구 테헤란로4길 40,신소애빌딩,N,서울특별시 강남구 테헤란로4길 40,road,06241,부동산중개법인 익스퍼트 (주)
2540032454,중소형사무실,월세,1억,690,212,중소형사무실,,37.502552,127.03573,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 641-10,641-10,641,10,N,서울특별시 강남구 논현로 515,아승빌딩,N,서울특별시 강남구 논현로 515,road,06131,(주)탑인사이트부동산중개법인
2540032549,중소형사무실,월세,1억,690,212,중소형사무실,,37.502552,127.03573,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 641-10,641-10,641,10,N,서울특별시 강남구 논현로 515,아승빌딩,N,서울특별시 강남구 논현로 515,road,06131,(주)탑인사이트부동산중개법인
2540022229,중소형사무실,월세,"1,000",75,69,중소형사무실,,37.50164,127.035645,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 642-1,642-1,642,1,N,서울특별시 강남구 테헤란로25길 20,역삼현대벤쳐텔,N,서울특별시 강남구 테헤란로25길 20,road,06132,성지현대공인중개사사무소
2540019556,중소형사무실,월세,"2,200",220,132,중소형사무실,,37.49683,127.030839,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 827-41,827-41,827,41,N,서울특별시 강남구 강남대로84길 24-3,,N,서울특별시 강남구 강남대로84길 24-3,road,06240,에이치부동산중개법인주식회사
2539958666,중소형사무실,월세,"1,000",90,87,중소형사무실,,37.50164,127.035645,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 642-1,642-1,642,1,N,서울특별시 강남구 테헤란로25길 20,역삼현대벤쳐텔,N,서울특별시 강남구 테헤란로25길 20,road,06132,성지현대공인중개사사무소
2539897175,대형사무실,월세,1억,463,232,대형사무실,,37.493408,127.043049,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 787-12,787-12,787,12,N,서울특별시 강남구 도곡로 221,셀라빌딩,N,서울특별시 강남구 도곡로 221,road,06231,더큰공인중개사사무소
2539887325,중소형사무실,월세,"1억 2,000",960,341,중소형사무실,,37.499825,127.028337,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 818-3,818-3,818,3,N,서울특별시 강남구 강남대로96길 16,,N,서울특별시 강남구 강남대로96길 16,road,06129,푸른달공인중개사사무소
2539881509,중소형사무실,월세,"5,000",400,158,중소형사무실,,37.50399,127.038795,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 672-4,672-4,672,4,N,서울특별시 강남구 테헤란로33길 34,,N,서울특별시 강남구 테헤란로33길 34,road,06139,강남명가부동산중개
2539968015,오피스텔,매매,"2억 1,000",,60,오피스텔,,37.498844,127.033498,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 735-11,735-11,735,11,N,서울특별시 강남구 논현로87길 41,신일유토빌,N,서울특별시 강남구 논현로87길 41,road,06235,태성공인중개사사무소
2539928960,중소형사무실,월세,"1억 4,000",635,295,중소형사무실,,37.493408,127.043049,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 787-12,787-12,787,12,N,서울특별시 강남구 도곡로 221,셀라빌딩,N,서울특별시 강남구 도곡로 221,road,06231,스타리얼티주식회사
2539957550,중소형사무실,월세,5억,"4,500",991,중소형사무실,,37.506499,127.03324,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 606-8,606-8,606,8,N,서울특별시 강남구 봉은사로26길 7,,N,서울특별시 강남구 봉은사로26길 7,road,06125,신가람공인중개사사무소
2539940778,중소형사무실,월세,"2,500",200,99,중소형사무실,,37.491907,127.032172,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 837-15,837-15,837,15,N,서울특별시 강남구 강남대로66길 16,,N,서울특별시 강남구 강남대로66길 16,road,06253,주식회사 아하부동산중개법인
2539924367,중소형사무실,월세,"1억 4,000",635,295,중소형사무실,,37.493408,127.043049,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 787-12,787-12,787,12,N,서울특별시 강남구 도곡로 221,셀라빌딩,N,서울특별시 강남구 도곡로 221,road,06231,스타리얼티주식회사
2539897698,중소형사무실,월세,"1,500",150,69,중소형사무실,,37.498371,127.036769,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 738-18,738-18,738,18,N,서울특별시 강남구 논현로85길 5-15,,N,서울특별시 강남구 논현로85길 5-15,road,06237,더큰공인중개사사무소
